"","semesterName","n","mean","sd","median","trimmedmean","mad","min","max","Q1","Q3","skewness","kurtosis","se"
"1","2015 Fall Morning Classes",47,2.17957,0.50413,2.24,2.14897,0.56339,1.38,3.59,1.775,2.475,0.50682,-0.26488,0.07354
"2","2015 Fall Non-Morning Classes",49,2.31408,0.42738,2.25,2.3039,0.38548,1.22,3.37,2.06,2.56,0.25428,0.24018,0.06105
"3","2015 Spring Morning Classes",59,2.35356,0.62827,2.17,2.30041,0.45961,1.24,4,1.98,2.685,0.75637,0.05404,0.08179
"4","2015 Spring Non-Morning Classes",48,2.42813,0.4651,2.36,2.40575,0.31876,1.52,3.82,2.2125,2.63,0.61247,0.72555,0.06713
"5","2016 Fall Morning Classes",45,2.30133,0.4945,2.35,2.32378,0.4003,1.22,3.2,2.03,2.58,-0.37894,-0.42096,0.07372
"6","2016 Fall Non-Morning Classes",52,2.35846,0.48667,2.46,2.36952,0.54115,1.26,3.3,2.02,2.7225,-0.22456,-0.77197,0.06749
"7","2016 Spring Morning Classes",55,2.21927,0.53724,2.16,2.19711,0.45961,1.22,3.56,1.86,2.505,0.35157,-0.24353,0.07244
"8","2016 Spring Non-Morning Classes",55,2.30527,0.50623,2.38,2.34311,0.45961,0.93,3.35,2.025,2.645,-0.66449,0.37633,0.06826
"9","2017 Fall Morning Classes",45,2.25556,0.5659,2.3,2.24784,0.32617,0.68,3.83,2.04,2.48,0.08853,1.42959,0.08436
"10","2017 Fall Non-Morning Classes",60,2.24067,0.56634,2.39,2.2775,0.45219,0,3.6,1.945,2.55,-0.96112,2.77603,0.07311
"11","2017 Spring Morning Classes",51,2.12627,0.47845,2.09,2.1,0.48926,1.33,3.29,1.755,2.39,0.44035,-0.32943,0.067
"12","2017 Spring Non-Morning Classes",51,2.31529,0.55334,2.19,2.30049,0.56339,1.22,3.78,1.925,2.735,0.29598,-0.38304,0.07748
"13","2018 Fall Morning Classes",32,2.17094,0.54952,2.27,2.18231,0.64493,1.15,3.25,1.7225,2.5425,-0.18153,-1.04754,0.09714
"14","2018 Fall Non-Morning Classes",30,2.08967,0.36607,2.125,2.10792,0.33358,1.32,2.77,1.885,2.3175,-0.37028,-0.63119,0.06684
"15","2018 Spring Morning Classes",36,2.13583,0.43433,2.19,2.15633,0.37065,1,2.83,1.905,2.385,-0.43132,-0.31247,0.07239
"16","2018 Spring Non-Morning Classes",28,2.04321,0.6866,2.08,2.08667,0.50408,0,3.74,1.81,2.435,-0.70689,2.03187,0.12976
"17","2019 Fall Morning Classes",35,2.31771,0.60312,2.32,2.33931,0.47443,0.7,3.6,1.98,2.625,-0.358,0.08136,0.10195
"18","2019 Fall Non-Morning Classes",31,2.38871,0.56269,2.39,2.3956,0.66717,1.29,3.31,2.015,2.78,0.04768,-0.97824,0.10106
"19","2019 Spring Morning Classes",38,2.29026,0.62814,2.26,2.29156,0.54115,1.07,3.84,1.9425,2.635,0.06035,-0.24144,0.1019
"20","2019 Spring Non-Morning Classes",32,2.47812,0.49919,2.675,2.52346,0.37065,1.4,3.13,2.3,2.8425,-0.8177,-0.52843,0.08825
"21","2021 Fall Morning Classes",34,2.14088,0.45116,2.18,2.15964,0.45219,0.97,3.03,1.8225,2.435,-0.33512,-0.24367,0.07737
"22","2021 Fall Non-Morning Classes",34,2.14235,0.4612,2.22,2.13571,0.60045,1.32,3.14,1.785,2.385,0.05885,-0.95047,0.0791
"23","2021 Spring Morning Classes",32,2.11469,0.51872,2.045,2.08385,0.56339,1.38,3.53,1.77,2.4175,0.55089,-0.16524,0.0917
"24","2021 Spring Non-Morning Classes",33,2.08273,0.46481,1.99,2.07259,0.57821,1.4,2.99,1.7,2.59,0.2077,-1.26004,0.08091
